id,ds,y,irain,rain,itemp,temp,iwb,wetb,dewpt,vappr,rhum,msl,iwdsp,wdsp,iwddir,wddir,ww,w,sun,vis,clht,clamt,20223,GL1,1255,1405,1404,1403,GL2,1271,1253,1401,GL3,1283,1258,1256,weekday,weekend,lat,long,holiday,pred
000000001253A,2021-11-27 14:00:00,3395,0,0.0,0,5.1,0,2.7,-1.5,5.5,63,1017.1,2,18,2,340,2,11,0.9,50000,220,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 15:00:00,3174,0,0.0,0,4.7,0,2.5,-1.4,5.6,65,1017.4,2,15,2,340,2,22,0.4,50000,100,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 16:00:00,3312,0,0.0,0,4.2,0,2.3,-1.0,5.7,69,1017.5,2,12,2,340,2,11,0.0,50000,220,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 17:00:00,2785,0,0.0,0,3.5,0,1.9,-1.0,5.7,73,1017.8,2,10,2,320,2,11,0.0,50000,220,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 18:00:00,2225,3,0.0,0,3.0,0,1.5,-1.3,5.6,74,1018.1,2,9,2,320,2,11,0.0,40000,220,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 19:00:00,1739,3,0.0,0,2.9,0,1.5,-1.1,5.7,76,1018.1,2,12,2,320,2,11,0.0,40000,999,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 20:00:00,1167,3,0.0,0,2.5,0,1.2,-1.2,5.6,77,1018.2,2,13,2,320,2,11,0.0,20000,999,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 21:00:00,709,3,0.0,0,2.2,0,1.0,-1.3,5.6,78,1018.5,2,9,2,300,2,11,0.0,20000,999,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 22:00:00,565,3,0.0,0,2.4,0,1.0,-1.7,5.4,75,1018.2,2,8,2,300,2,11,0.0,20000,999,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
000000001253A,2021-11-27 23:00:00,476,3,0.0,0,1.6,0,0.4,-1.9,5.3,78,1018.0,2,7,2,300,2,11,0.0,20000,999,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,51.87488,-8.44783,0,2061.887883981048
