Extra_feature_col,RMSE Score,MAPE Score,Best config
None,136.41323150539205,677580.6749879045,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 64}"
time_ft,142.12230080442282,815868.9322532535,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 64}"
location_ft,135.61969301722817,390180.40362703695,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 64}"
link_ft,132.6526501265818,496080.584400257,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 64}"
weather_ft,120.82302971264245,1052827.9238055148,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 64}"
time_ft + location_ft,139.28555278326166,668534.3841323648,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 64}"
time_ft + link_ft,129.04051549554842,335427.780362017,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 64}"
time_ft + weather_ft,140.36762199547033,570938.5378254241,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
location_ft + link_ft,122.07808728718197,932692.7497328597,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 64}"
location_ft + weather_ft,124.53298953622614,150799.50379554246,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
link_ft + weather_ft,123.92840572314618,169985.30423262456,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
time_ft + location_ft + link_ft,121.37912198232841,313628.2456299113,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 64}"
time_ft + location_ft + weather_ft,135.1046256488677,1089892.8080473747,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 7, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
time_ft + link_ft + weather_ft,126.57842526863898,962825.590792824,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 19, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
location_ft + link_ft + weather_ft,113.12603245412818,323610.642383452,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
time_ft + location_ft + link_ft + weather_ft,141.48137066157392,352661.13679492485,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 21, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 64}"
