Extra_feature_col,RMSE Score,MAPE Score,Best config
None,160.07000705477296,33897.01269112087,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.00457757903401344, 'dropout': 0.16591400305327905, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,180.7966094919465,600878.8868918206,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0019611338588333043, 'dropout': 0.1540297673267055, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,157.08261509149116,654222.7379249907,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0036874787549811237, 'dropout': 0.17083130042755895, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,165.29268951145087,545181.6043271282,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0012157776745141333, 'dropout': 0.1648803250500014, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,170.31855550143166,175896.77499448642,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0012787962323596398, 'dropout': 0.12226006380100422, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,177.56478017312025,968706.3678504166,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0015169308843690874, 'dropout': 0.16183789797030185, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,169.23442141870166,701736.6831130589,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0023642386036603095, 'dropout': 0.1870556494175463, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,186.87099432516493,353288.0591665348,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0017724571074445492, 'dropout': 0.17010249827392857, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,146.55090859953972,412524.6679086493,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0018872461074783498, 'dropout': 0.12708520488910865, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,165.80981367368977,599900.9131595064,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.001703399093166934, 'dropout': 0.17205406324579167, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,149.56270100570978,268273.4121569763,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.004450776928888686, 'dropout': 0.18487257050456957, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft,177.43542380289796,710418.6210707447,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0016672902789601042, 'dropout': 0.19752508251664397, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + location_ft + weather_ft,169.28204531810704,272410.2982892921,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.003402419212723078, 'dropout': 0.1400459278757856, 'input_feature_num': 7, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + link_ft + weather_ft,187.6615962064714,418656.6092043843,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.0028864380305303914, 'dropout': 0.18551422393665318, 'input_feature_num': 19, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,175.75264804832972,427103.0641583799,"{'hidden_dim': 32, 'layer_num': 1, 'lr': 0.0013320152171814664, 'dropout': 0.1897395858540907, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft + weather_ft,174.60261741704576,254296.31119261746,"{'hidden_dim': 16, 'layer_num': 1, 'lr': 0.0025237308266494777, 'dropout': 0.11510029434774614, 'input_feature_num': 21, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
